"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Lynn Lake","1069	","Washington","SNOTEL","King","3900","47.20172","-121.77972","171100130203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","34",,,"140","234","35","41","41","19.5","69","5","10",,,,"24.21","14.5","0","81","2018, 2019, 2020, more","2008","14"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8880","40.07806","-106.67028","140100011001	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"1,400",,"5","4","5","2","100","1","14","Highest",,,"0.14","0","0","2","2018, 2019, 2020, more","2021","14"
"MF Nooksack","1011	","Washington","SNOTEL","Whatcom","4970","48.82453","-121.92951","171100040303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","91",,,"113","108","57","66","63","7","56","9","11",,,,"80.58","84","0","151","2005, 2015","2011","19"
"Madison Butte","608	","Oregon","SNOTEL","Morrow","5150","45.10513","-119.49585","170702041101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","19"
"Madison Plateau","609	","Montana","SNOTEL","Gallatin","7750","44.58623","-111.11627","100200070204	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","6",,,"26","27","9","7","7","-16","21","16","5",,,,"22.7","22","0","77","2013, 2015, 2016, more","2011","20"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6880","42.18072","-114.28662","170402120601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","90","3","1","Lowest",,,"0.77","0","0","15","2018, 2020, 2021, more","2011","22"
"Mahantango Ck","2028	","Pennsylvania","SCAN","Northumberland","730","40.66667","-76.66667","020503010801	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2018, 2020, 2021, more","2018, 2020, 2021, more","18"
"Mammoth-Cottonwood","612	","Utah","SNOTEL","Sanpete","8709","39.68338","-111.31818","160300040203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"50",,"2","2","2","1","88","4","21",,,,"2","0","0","29","2017, 2018, 2020, more","2011","25"
"Mancos","905	","Colorado","SNOTEL","Montezuma","10000","37.43087","-108.16954","140801070102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"68",,"2","2","2","1","94","2","15","2nd Highest",,,"1.47","0","0","23","2017, 2018, 2020, more","2019","17"
"Many Glacier","613	","Montana","SNOTEL","Glacier","4900","48.79698","-113.6705","090400010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.17","0","0","3","2018, 2019, 2020, more","2010","18"
"Marion Forks","614	","Oregon","SNOTEL","Linn","2590","44.59397","-121.97365","170900050205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.53","0","0","23","2018, 2019, 2020, more","2008","15"
"Marlette Lake","615	","Nevada","SNOTEL","Carson City","7884","39.16395","-119.89672","160501010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"9.38","0","0","57","2016, 2018, 2020, more","2011","24"
"Marquette","616	","Wyoming","SNOTEL","Park","8760","44.3016","-109.24019","100800130303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"8.53","1","0","39","2016, 2018, 2020, more","2011","17"
"Marten Ridge","999	","Washington","SNOTEL","Whatcom","3520","48.76292","-121.69823","171100051004	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","80",,,"133","133","49","57","54","20","79","4","12",,,,"59.93","60","0","131","2015, 2019","2011","15"
"Mascoma River","2043	","New Hampshire","SCAN","Grafton","1400","43.78333","-72.03333","010801060101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2017, 2020, 2021, more","2017, 2020, 2021, more","18"
"Maverick Fork","617	","Arizona","SNOTEL","Apache","9200","33.92121","-109.45881","150601010104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","94","2","1","Lowest",,,"0.05","0","0","1","2019, 2020, 2021, more","2004","19"
"May Creek","1096	","Alaska","SNOTEL","Valdez-Cordova","1610","61.34783","-142.70967","190201031603	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,400",,"1","4","4","1","100","1","14","Highest",,,"0.07","0","0","1","2018, 2019, 2020, more","2021","14"
"Mc Clure Pass","618	","Colorado","SNOTEL","Pitkin","9500","39.12897","-107.28806","140200040203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.67","0","0","6","2017, 2018, 2020, more","2019","15"
"McBride Upper","1A02P	","British Columbia","Cooperator Snow Sensors","	","5276","53.3","-120.31667","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"84","152","28","28","33","7.5","69","5","10",,,,"26.14","14.5","0","199","2007, 2008, 2016","2014","14"
"McGrath","785	","Alaska","SNOTEL","Yukon-Koyukuk","340","62.94652","-155.6102","190304050502	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2020","2020","1"
"Mccoy Park","1040	","Colorado","SNOTEL","Eagle","9480","39.60468","-106.54128","140100030302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"39",,"2","1","2","1","76","5","13",,,,"2.56","0","0","24","2017, 2018, 2020, more","2011","18"
"Mckenzie","619	","Oregon","SNOTEL","Lane","4770","44.2103","-121.87292","170900040207	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"10","25","2","2","2","-6","38","11","7",,,,"20.06","8","0","90","2018, 2019, 2020, more","2011","17"
"Mcknight Cabin","1048	","New Mexico","SNOTEL","Grant","9240","33.00812","-107.86975","130302020103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","93","2","1","Lowest",,,"0.06","0","0","1","2019, 2020, 2021, more","2004","16"
"Mcneil Canyon","1003	","Alaska","SNOTEL","Kenai Peninsula","1320","59.74433","-151.25133","190203010806	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Mcneil River SGS","1191	","Alaska","SNOTEL","Kenai Peninsula","140","59.08332","-154.27543","190206021207	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"38",,"2","2","2","1","88","2","8","2nd Highest",,,"2.67","0","0","23","2018, 2019, 2020, more","2013","9"
"Meadow Lake","620	","Idaho","SNOTEL","Lemhi","9150","44.43655","-113.31815","170602040101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"7","14","2","1","1","-6","0","5","1","Lowest",,,"14.6","7","1","32","2021","2017","5"
"Meadows Pass","897	","Washington","SNOTEL","King","3230","47.28312","-121.47197","171100120101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"228",,"18","26","25","22","82","4","15",,,,"9.67","0","0","62","2018, 2019, 2020, more","2008","18"
"Med Bow","1196	","Wyoming","SNOTEL","Carbon","10500","41.37833","-106.34681","101800040302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","50",,,"75","72","45","43","44","-19","13","8","2","2nd Lowest",,,"67","69","44","90","2018","2019","9"
"Medano Pass","914	","Colorado","SNOTEL","Saguache","9649","37.85164","-105.43614","130100030604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.07","0","0","1","2018, 2019, 2020, more","2004","14"
"Merchant Valley","621	","Utah","SNOTEL","Beaver","8705","38.30285","-112.43637","160300070201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"100",,"2","2","2","1","88","3","16",,,,"1","0","0","15","2017, 2018, 2020, more","2019","18"
"Merritt Mountain","1207	","Nevada","SNOTEL","Elko","6915","41.8927","-115.858","170501020601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","10"
"Mesa Lakes","622	","Colorado","SNOTEL","Mesa","10000","39.05831","-108.05835","140100051307	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-2","38","9","1","Lowest",,,"9.86","2","0","49","2018, 2020, 2021, more","2019","14"
"Mica Creek","623	","Idaho","SNOTEL","Shoshone","4510","47.15045","-116.26643","170103040604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","89","3","1","Lowest",,,"3.84","0","0","43","2019, 2020, 2021, more","2011","19"
"Michigan Creek","937	","Colorado","SNOTEL","Park","10600","39.43577","-105.91078","101900010404	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"9.7","1.5","0","39","2017, 2018, 2020, more","2019","20"
"Midas","1206	","Nevada","SNOTEL","Elko","6630","41.26873","-116.80332","160401060402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","10"
"Middle Creek","624	","Colorado","SNOTEL","Mineral","11250","37.61978","-107.03482","130100010501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"12","50","2","1","2","-1","47","10","8",,,,"8.61","2","0","57","2014, 2018, 2020, more","2019","18"
"Middle Fork Bradley","1064	","Alaska","SNOTEL","Kenai Peninsula","2300","59.77683","-150.75733","190203011102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","29",,,"168","200","30","46","45","14.5","73","5","11",,,,"17.25","14.5","0","42","2014, 2015, 2020, more","2008","16"
"Middle Fork Camp","1014	","Colorado","SNOTEL","Grand","8940","39.7956","-106.0273","140100010402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"900",,"2","2","2","1","100","1","17","Highest",,,"0.11","0","0","1","2018, 2019, 2020, more","2008, 2021","18"
"Middle Powder","625	","Wyoming","SNOTEL","Washakie","7760","43.62728","-107.18138","100800080205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"4.5","0","0","37","2017, 2018, 2020, more","2011","16"
"Midway Valley","626	","Utah","SNOTEL","Iron","9827","37.56933","-112.83849","160300010101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"14.79","0","0","90","2017, 2018, 2020, more","2005","24"
"Milk Shakes","1079	","Oregon","SNOTEL","Wallowa","5580","45.9821","-117.94883","170701020201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"6","6","2","2","2","-30","8","13","2","2nd Lowest",,,"34.86","32","0","89","2015","2011","14"
"Mill Creek Summit","627	","Idaho","SNOTEL","Custer","8800","44.47212","-114.48992","170602010501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"5","6","2","1","1","-17","0","9","1","Lowest",,,"21.67","18","1","54","2021","2017","9"
"Mill-D North","628	","Utah","SNOTEL","Salt Lake","8963","40.65883","-111.63683","160202040201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","63","7","1","Lowest",,,"11","0","0","75","2018, 2020, 2021, more","2011","17"
"Miller Woods","1084	","Oregon","SNOTEL","Yamhill","420","45.24755","-123.27563","170900080606	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","15"
"Mineral Creek","629	","Colorado","SNOTEL","San Juan","10040","37.84747","-107.72657","140801040103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","73","5","1","Lowest",,,"3.06","0","0","34","2018, 2020, 2021, more","2019","16"
"Mining Fork","631	","Utah","SNOTEL","Tooele","8295","40.49384","-112.61141","160203040503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"26",,"2","2","2","1","83","5","20",,,,"3.79","0","0","65","2017, 2018, 2020, more","2011","24"
"Mission Creek","2F05P	","British Columbia","Cooperator Snow Sensors","	","5886","49.93333","-118.93333","170200060703	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"85","81",,"33","34","-5","35","16","9",,,,"25.96","27","0","56","1998, 2015","2011","24"
"Molas Lake","632	","Colorado","SNOTEL","San Juan","10500","37.74932","-107.68866","140801040302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"5.8","0","0","48","2016, 2018, 2020, more","2019","15"
"Monahan Flat","1094	","Alaska","SNOTEL","Matanuska-Susitna","2710","63.30533","-147.64633","190205010304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,300",,"2","3","3","1","100","1","13","Highest",,,"0.08","0","0","1","2018, 2019, 2020, more","2021","13"
"Monitor Pass","633	","California","SNOTEL","Alpine","8306","38.6683","-119.6087","160502010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.05","0","0","1","2018, 2019, 2020, more","2011","19"
"Monte Cristo","634	","Utah","SNOTEL","Cache","8932","41.46547","-111.49688","160102030201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"20.29","6.5","0","108","2015, 2018, 2020, more","2011","24"
"Monument Creek","949	","Alaska","SNOTEL","Fairbanks North Star","1850","65.07833","-145.87067","190803060402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","14"
"Monument Peak","635	","Montana","SNOTEL","Park","8850","45.21759","-110.237","100700020902	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"33.05","35","0","74","2007","2011","19"
"Moon Pass","1124	","Colorado","SNOTEL","Saguache","11140","37.96661","-106.55837","130100040201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.09","0","0","1","2017, 2018, 2020, more","2019","11"
"Moonshine","636	","Idaho","SNOTEL","Lemhi","7440","44.4147","-113.39812","170402170201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","92","2","1","Lowest",,,"0.29","0","0","4","2019, 2020, 2021, more","2011","14"
"Moore Creek Bridge","1176	","Alaska","SNOTEL","Skagway","2250","59.58783","-135.2105","190103030203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","39",,,"437","1,300","35","50","53","36","100","1","12","Highest",,,"8.92","3","0","39","2017, 2018, 2019, more","2021","12"
"Moose Creek","638	","Idaho","SNOTEL","Lemhi","6200","45.67008","-113.95315","170602030601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","6"
"Moraine","1035	","Alaska","SNOTEL","Anchorage","2100","61.37727","-148.99917","190204010103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,,"0","0","0","88","3","1","Lowest",,,"0.67","0","0","10","2019, 2020, 2021, more","2006","18"
"Mores Creek Summit","637	","Idaho","SNOTEL","Boise","6100","43.932","-115.66588","170501110503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","77","6","1","Lowest",,,"3.78","0","0","43","2019, 2020, 2021, more","2011","23"
"Morgan Creek","639	","Idaho","SNOTEL","Lemhi","7600","44.84237","-114.26871","170602030901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"900",,"3","2","2","1","100","1","9","Highest",,,"0.11","0","0","1","2018, 2019, 2020, more","2021","9"
"Mormon Mountain","640	","Arizona","SNOTEL","Coconino","7500","34.94109","-111.51849","150200150201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","94","2","1","Lowest",,,"0.32","0","0","6","2019, 2020, 2021, more","1985","19"
"Mormon Mtn Summit","1125	","Arizona","SNOTEL","Coconino","8500","34.96964","-111.50922","150200150202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","11"
"Morse Lake","642	","Washington","SNOTEL","Yakima","5410","46.90585","-121.4827","170300020106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","55",,,"80","86","35","38","39","-9","36","10","6",,,,"68.67","64","0","132","2015","2011","15"
"Mosby Mtn.","643	","Utah","SNOTEL","Uintah","9553","40.60798","-109.8881","140600100702	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","76","5","1","Lowest",,,"4.39","0","0","37","2018, 2020, 2021, more","2019","18"
"Moscow Mountain","989	","Idaho","SNOTEL","Latah","4700","46.805","-116.8535","170603061002	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.4","0","0","8","2018, 2019, 2020, more","2011","20"
"Moses Mtn","644	","Washington","SNOTEL","Okanogan","5010","48.36163","-119.08159","170200061903	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.18","0","0","20","2018, 2019, 2020, more","2011","17"
"Mosley Creek Upper","3A24P	","British Columbia","Cooperator Snow Sensors","	","5430","51.76667","-124.61667","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"44","100","5","4","5","0","62","6","7",,,,"4.57","2","0","26","2012, 2015, 2016, more","2011","14"
"Mosquito Ridge","645	","Idaho","SNOTEL","Shoshone","5260","48.05726","-116.23055","170103010101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"12","10","2","2","2","-19","38","6","4",,,,"16.44","21","0","45","2015, 2016, 2019","2012","9"
"Moss Peak","646	","Montana","SNOTEL","Lake","6780","47.68493","-113.9623","170102080404	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","64",,,"92","100","62","52","55","0","56","9","9",,,,"69.68","64","40","139","2015","2011","19"
"Moss Springs","647	","Oregon","SNOTEL","Union","5760","45.27173","-117.68747","170601040702	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"10.71","7","0","66","2015, 2016, 2018, more","2011","21"
"Mount Cook","1E02P	","British Columbia","Cooperator Snow Sensors","	","5164","52.16667","-119.31667","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","79",,,"108","109",,"3","55","6.5","67","8","15",,,,"72.86","72.5","39","104","2004","2002","22"
"Mount Crag","648	","Washington","SNOTEL","Jefferson","3960","47.7637","-123.026","171100180601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","38",,,"145","271",,"40","40","24","68","7","14",,,,"26.15","14","0","103","2015, 2019, 2020, more","2011","20"
"Mount Gardner","898	","Washington","SNOTEL","King","2920","47.35768","-121.56812","171100120103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"2.31","0","0","25","2018, 2019, 2020, more","2008","16"
"Mount Lockhart","649	","Montana","SNOTEL","Teton","6400","47.91727","-112.8238","100302050102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","19",,,"107","106","32","27","27","1","63","8","13",,,,"17.8","18","0","66","2007, 2015, 2016, more","2011","20"
"Mount Mansfield","2041	","Vermont","SCAN","Chittenden","2236","44.53333","-72.83333","041504050201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.07","0","0","15","2015, 2016, 2017, more","2001","14"
"Mountain Meadows","650	","Idaho","SNOTEL","Idaho","6320","45.69694","-115.22972","170603020301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"15","25","2","3","3","-6","40","13","9",,,,"13.24","8","0","62","2013, 2015, 2016, more","2011","21"
"Mowich","941	","Washington","SNOTEL","Pierce","3160","46.92833","-121.95232","171100140105	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","95","2","1","Lowest",,,"0.23","0","0","5","2019, 2020, 2021, more","1999","22"
"Moyie Mountain","2C10P	","British Columbia","Cooperator Snow Sensors","	","6037","49.25","-115.76667","170101050304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"96",,"2","2","2","1","86","4","15",,,,"1.05","0","0","10","2018, 2019, 2020, more","1999","22"
"Mt Baldy","1224	","Utah","SNOTEL","Sanpete","9524","39.13648","-111.50527","160300040402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"26",,"2","3","3","2","75","3","7",,,,"7.78","0","0","60","2015, 2018, 2020, more","2019","9"
"Mt Hood Test Site","651	","Oregon","SNOTEL","Clackamas","5370","45.32097","-121.7158","170800010302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","73",,,"97","99","41","49","50","-0.5","48","14","13",,,,"75.04","73.5","0","150","2005, 2015","2008","26"
"Mt Pennell","1269	","Utah","SNOTEL","Garfield","9209","37.97793","-110.7933","140700010502	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.8","0","0","4","2017, 2018, 2020, more","2019","5"
"Mt Rose Ski Area","652	","Nevada","SNOTEL","Washoe","8801","39.31573","-119.89473","160501020304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"36.55","21","0","132","2014, 2015, 2020, more","2017","22"
"Mt. Alyeska","1103	","Alaska","SNOTEL","Anchorage","1540","60.95983","-149.08617","190203020702	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"124","2,200","20","25","30","21","69","5","10",,,,"17.79","1","0","65","2018, 2019, 2020, more","2008","14"
"Mt. Eyak","1073	","Alaska","SNOTEL","Valdez-Cordova","1405","60.55","-145.745","190202010200	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","10",,,"70",,"9","12","12","10","67","6","11",,,,"14.38","0","0","65","2018, 2019, 2020, more","2013","16"
"Mt. Howard","653	","Oregon","SNOTEL","Wallowa","7910","45.26522","-117.17373","170601050102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-20","12","16","1","Lowest",,,"18","20","0","45","2007, 2015, 2021","2011","18"
"Mt. Ryan","948	","Alaska","SNOTEL","Fairbanks North Star","2800","65.25113","-146.15133","190803060404	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","10"
"Mt. Tebo","1126	","Washington","SNOTEL","Mason","3384","47.46061","-123.41219","171100170101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0",,,"0",,"1","1",,,,"0","0","0","0","2021","2021","1"
"Muckamuck","1259	","Washington","SNOTEL","Okanogan","4470","48.58526","-119.86624","170200062001	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","7"
"Mud Flat","654	","Idaho","SNOTEL","Owyhee","5730","42.6004","-116.55925","170501041401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","19"
"Mud Ridge","655	","Oregon","SNOTEL","Clackamas","4070","45.25362","-121.73673","170800010302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"10.86","0","0","56","2018, 2019, 2020, more","2008","21"
"Mule Creek","656	","Montana","SNOTEL","Beaverhead","8300","45.40957","-112.95927","100200041303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","31",,,"109","107","53","51","53","2","58","9","12",,,,"28.4","29","7","58","2007","2011","20"
"Munson Ridge","950	","Alaska","SNOTEL","Fairbanks North Star","3100","64.85033","-146.20945","190803060602	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"59",,"1","2","2","1","78","3","8",,,,"1.7","0","0","10","2017, 2019, 2020, more","2018","10"
"Myrtle Creek","1053	","Idaho","SNOTEL","Boundary","3520","48.72263","-116.46312","170101040701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","18"
"N Fk Elk Creek","657	","Montana","SNOTEL","Powell","6250","46.8716","-113.27725","170102031204	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","90","3","1","Lowest",,,"0.59","0","0","11","2019, 2020, 2021, more","2011","22"
"Nast Lake","658	","Colorado","SNOTEL","Pitkin","8700","39.29722","-106.60694","140100040504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","16"
"Navajo Whiskey Ck","1138	","New Mexico","SNOTEL","San Juan","9050","36.17728","-108.94691","140802040206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","13"
"Nenana","2081	","Alaska","SNOTEL","Yukon-Koyukuk","415","64.68582","-148.9113","190803090803	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,000",,,"3","4","1","100","1","10","Highest",,,"0.1","0","0","1","2018, 2019, 2020, more","2021","10"
"Nevada Ridge","903	","Montana","SNOTEL","Lewis And Clark","7020","46.84234","-112.50787","170102030302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","20",,,"218","235","36","36","37","11.5","90","3","20",,,,"9.18","8.5","0","46","2013, 2015, 2016, more","2011","22"
"Never Summer","1031	","Colorado","SNOTEL","Jackson","10280","40.40405","-105.95583","101800010401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","16",,,"45","43","27","17","22","-21","17","16","4",,,,"35.37","37","1","89","2012","2011","19"
"New Crescent Lake","660	","Oregon","SNOTEL","Klamath","4910","43.51185","-121.97982","170703020205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","15"
"New Fork Lake","661	","Wyoming","SNOTEL","Sublette","8340","43.11265","-109.94947","140401020201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"250",,"3","2","2","1","93","2","14","2nd Highest",,,"0.4","0","0","5","2018, 2019, 2020, more","2011","15"
